gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,39.0,71.0,40.0,26.0,No,Good,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,0.0,0.0,0.0,4.0,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,30.0,98.0,42.0,21.0,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Father,30.0,17.0,14.0,57.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,A,Math,S,Father,15.0,6.0,32.0,40.0,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Mum,77.0,80.0,12.0,19.0,Yes,Good,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,10.0,12.0,4.0,80.0,No,Bad,Under-7,M
M,Palestine,Jordan,lowerlevel,G-04,B,Science,S,Mum,82.0,84.0,79.0,79.0,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,C,IT,F,Father,80.0,42.0,20.0,50.0,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,35.0,92.0,29.0,33.0,No,Bad,Under-7,M
M,lebanon,lebanon,MiddleSchool,G-08,C,Spanish,S,Father,80.0,51.0,40.0,24.0,No,Good,Under-7,M
M,Iraq,Iraq,lowerlevel,G-02,A,Arabic,S,Father,78.0,70.0,31.0,29.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Mum,72.0,83.0,12.0,90.0,Yes,Good,Under-7,H
M,Jordan,SaudiArabia,MiddleSchool,G-08,C,Spanish,S,Mum,27.0,90.0,82.0,14.0,Yes,Good,Under-7,H
F,SaudiArabia,SaudiArabia,MiddleSchool,G-08,B,Arabic,S,Mum,72.0,51.0,42.0,24.0,Yes,Bad,Above-7,H
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,20.0,88.0,31.0,28.0,Yes,Good,Above-7,M
M,Syria,Syria,MiddleSchool,G-07,A,Quran,F,Father,19.0,72.0,15.0,50.0,Yes,Good,Above-7,M
M,Iraq,Iraq,lowerlevel,G-04,A,Science,F,Father,90.0,86.0,82.0,74.0,Yes,Good,Above-7,M
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,2.0,6.0,2.0,8.0,No,Bad,Above-7,L
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,13.0,80.0,40.0,88.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,36.0,30.0,20.0,80.0,No,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,75.0,71.0,72.0,53.0,Yes,Good,Under-7,H
F,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,12.0,21.0,16.0,50.0,Yes,Good,Under-7,M
M,Iran,Iran,MiddleSchool,G-08,A,Spanish,S,Mum,51.0,42.0,12.0,29.0,No,Bad,Above-7,M
M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,81.0,75.0,62.0,53.0,No,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,2.0,5.0,3.0,50.0,No,Bad,Above-7,L
F,USA,USA,HighSchool,G-12,A,English,F,Mum,65.0,75.0,23.0,80.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,23.0,25.0,32.0,53.0,No,Bad,Under-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Father,45.0,87.0,57.0,80.0,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,70.0,81.0,39.0,84.0,No,Bad,Under-7,M
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Chemistry,S,Father,11.0,2.0,9.0,49.0,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,42.0,21.0,2.0,16.0,No,Bad,Under-7,M
M,Lybia,Lybia,lowerlevel,G-02,B,French,S,Mum,15.0,4.0,12.0,7.0,No,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,2.0,0.0,2.0,50.0,No,Bad,Above-7,L
M,Syria,Syria,lowerlevel,G-02,A,French,S,Father,27.0,20.0,33.0,35.0,No,Bad,Under-7,M
F,Egypt,Egypt,MiddleSchool,G-07,A,Quran,S,Mum,70.0,80.0,95.0,70.0,Yes,Good,Under-7,H
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,19.0,65.0,50.0,10.0,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,90.0,86.0,85.0,10.0,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-04,B,Science,S,Father,42.0,34.0,29.0,39.0,No,Good,Above-7,M
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,0.0,0.0,5.0,80.0,Yes,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,1.0,7.0,6.0,10.0,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,84.0,77.0,79.0,68.0,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,77.0,82.0,74.0,79.0,Yes,Good,Under-7,M
M,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,13.0,5.0,18.0,19.0,No,Bad,Above-7,L
M,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,IT,F,Father,70.0,12.0,40.0,50.0,Yes,Good,Under-7,H
F,Tunis,USA,HighSchool,G-11,B,French,S,Father,70.0,50.0,30.0,49.0,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,0.0,8.0,11.0,70.0,Yes,Good,Above-7,L
M,Morocco,Morocco,MiddleSchool,G-08,A,Arabic,S,Mum,53.0,75.0,72.0,23.0,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Father,10.0,15.0,10.0,21.0,No,Bad,Above-7,L
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,12.0,26.0,7.0,40.0,Yes,Good,Under-7,M
F,Jordan,lebanon,lowerlevel,G-04,B,Science,F,Mum,78.0,88.0,74.0,83.0,Yes,Good,Under-7,H
F,Iran,Iran,lowerlevel,G-02,C,IT,F,Father,2.0,9.0,7.0,55.0,Yes,Good,Under-7,M
M,Lybia,Lybia,lowerlevel,G-02,B,French,F,Mum,20.0,3.0,9.0,3.0,No,Good,Above-7,L
F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,Science,F,Father,50.0,90.0,37.0,70.0,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Father,19.0,80.0,12.0,17.0,Yes,Good,Above-7,M
M,SaudiArabia,USA,HighSchool,G-11,B,English,S,Father,70.0,50.0,33.0,41.0,No,Bad,Above-7,M
M,Tunis,Tunis,MiddleSchool,G-07,A,Quran,S,Father,10.0,75.0,55.0,11.0,Yes,Good,Under-7,M
M,Tunis,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,22.0,51.0,48.0,10.0,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,15.0,21.0,2.0,90.0,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,B,Math,F,Father,19.0,6.0,19.0,12.0,Yes,Good,Under-7,M
F,lebanon,lebanon,lowerlevel,G-02,B,French,S,Mum,75.0,90.0,51.0,17.0,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,89.0,87.0,86.0,15.0,Yes,Good,Under-7,M
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,29.0,39.0,50.0,77.0,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,35.0,2.0,29.0,23.0,No,Bad,Under-7,M
M,Syria,Syria,lowerlevel,G-02,B,French,S,Mum,20.0,52.0,23.0,33.0,Yes,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,70.0,90.0,2.0,2.0,Yes,Good,Under-7,L
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,99.0,96.0,89.0,84.0,Yes,Good,Under-7,H
F,Palestine,Jordan,lowerlevel,G-02,A,French,F,Mum,70.0,90.0,20.0,21.0,No,Good,Under-7,M
M,Egypt,Egypt,lowerlevel,G-04,A,English,S,Mum,19.0,74.0,32.0,17.0,No,Good,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,14.0,97.0,15.0,14.0,No,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,85.0,99.0,42.0,90.0,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,S,Father,79.0,72.0,79.0,83.0,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,8.0,15.0,10.0,40.0,Yes,Bad,Under-7,L
M,Palestine,Jordan,MiddleSchool,G-08,A,History,F,Father,81.0,86.0,86.0,41.0,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,12.0,8.0,18.0,26.0,No,Bad,Above-7,L
M,Lybia,Lybia,lowerlevel,G-02,A,French,F,Mum,10.0,8.0,9.0,3.0,No,Good,Above-7,L
F,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,72.0,80.0,58.0,66.0,Yes,Good,Above-7,M
F,Jordan,lebanon,lowerlevel,G-04,B,Science,S,Mum,72.0,84.0,89.0,89.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,17.0,21.0,42.0,14.0,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,60.0,60.0,33.0,90.0,No,Bad,Above-7,M
F,Iraq,Iraq,lowerlevel,G-02,B,French,F,Father,16.0,90.0,15.0,11.0,No,Good,Under-7,M
F,Palestine,Jordan,lowerlevel,G-02,A,French,S,Mum,75.0,80.0,15.0,20.0,No,Good,Under-7,M
F,Palestine,Jordan,lowerlevel,G-02,A,Arabic,F,Mum,98.0,88.0,60.0,31.0,No,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,81.0,84.0,77.0,85.0,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,42.0,24.0,12.0,24.0,No,Bad,Above-7,L
M,Syria,Jordan,MiddleSchool,G-08,A,Spanish,S,Father,9.0,7.0,21.0,20.0,Yes,Good,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,10.0,94.0,40.0,11.0,Yes,Good,Under-7,M
M,SaudiArabia,SaudiArabia,HighSchool,G-11,A,Quran,S,Father,80.0,80.0,51.0,59.0,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,80.0,80.0,62.0,11.0,Yes,Good,Above-7,M
F,lebanon,lebanon,lowerlevel,G-02,B,IT,F,Father,70.0,98.0,7.0,5.0,Yes,Good,Under-7,M
F,Morocco,Morocco,lowerlevel,G-02,B,French,S,Mum,72.0,65.0,73.0,66.0,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,15.0,16.0,2.0,20.0,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-06,A,Quran,S,Father,70.0,40.0,2.0,16.0,No,Bad,Above-7,L
M,Jordan,Palestine,MiddleSchool,G-07,A,Biology,S,Mum,70.0,98.0,54.0,72.0,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,10.0,17.0,12.0,14.0,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,15.0,43.0,42.0,33.0,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,72.0,76.0,66.0,40.0,Yes,Good,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,50.0,77.0,14.0,28.0,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Mum,2.0,9.0,10.0,1.0,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,72.0,80.0,98.0,96.0,Yes,Bad,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,79.0,88.0,79.0,20.0,Yes,Good,Above-7,M
M,KW,KuwaIT,HighSchool,G-11,A,Quran,F,Father,13.0,3.0,11.0,9.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,A,IT,F,Father,8.0,25.0,1.0,70.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,30.0,25.0,5.0,35.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,5.0,20.0,1.0,50.0,Yes,Good,Above-7,L
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,F,Father,95.0,87.0,62.0,81.0,No,Bad,Under-7,M
M,Palestine,Jordan,lowerlevel,G-02,A,Arabic,S,Father,80.0,88.0,51.0,39.0,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Father,35.0,2.0,29.0,23.0,No,Bad,Above-7,L
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,7.0,9.0,5.0,30.0,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Mum,70.0,89.0,12.0,21.0,No,Good,Under-7,H
F,USA,USA,lowerlevel,G-02,B,French,S,Mum,15.0,52.0,83.0,11.0,Yes,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,32.0,80.0,58.0,46.0,Yes,Good,Above-7,M
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Father,80.0,97.0,86.0,95.0,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,16.0,14.0,6.0,20.0,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50.0,10.0,15.0,22.0,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,S,Mum,20.0,77.0,31.0,88.0,Yes,Good,Under-7,M
M,Egypt,Egypt,lowerlevel,G-02,B,French,S,Mum,7.0,9.0,11.0,10.0,No,Good,Above-7,L
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,S,Father,87.0,79.0,73.0,98.0,No,Bad,Under-7,M
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,66.0,90.0,55.0,12.0,Yes,Good,Above-7,M
M,Iraq,Iraq,lowerlevel,G-02,B,Arabic,F,Mum,69.0,82.0,20.0,28.0,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,6.0,2.0,38.0,12.0,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,19.0,19.0,25.0,40.0,Yes,Bad,Under-7,M
M,Egypt,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,12.0,20.0,38.0,46.0,No,Bad,Above-7,M
M,KW,KuwaIT,lowerlevel,G-04,A,English,S,Mum,69.0,34.0,12.0,17.0,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-07,B,Biology,F,Father,50.0,79.0,10.0,31.0,No,Bad,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Father,80.0,71.0,52.0,51.0,Yes,Good,Under-7,M
M,lebanon,Jordan,MiddleSchool,G-08,A,Arabic,S,Mum,87.0,65.0,82.0,33.0,Yes,Good,Under-7,H
F,Jordan,Palestine,lowerlevel,G-02,A,French,F,Mum,80.0,77.0,63.0,83.0,Yes,Good,Under-7,M
M,Iran,Iran,lowerlevel,G-02,B,French,S,Father,10.0,2.0,13.0,53.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,19.0,70.0,3.0,50.0,No,Bad,Under-7,L
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,70.0,82.0,3.0,73.0,No,Bad,Under-7,H
F,Jordan,Palestine,lowerlevel,G-02,A,French,S,Mum,75.0,85.0,73.0,80.0,Yes,Good,Under-7,M
F,USA,USA,MiddleSchool,G-07,A,Math,F,Father,27.0,22.0,22.0,40.0,No,Good,Under-7,M
F,Iraq,Iraq,lowerlevel,G-02,B,Arabic,S,Mum,79.0,93.0,49.0,23.0,Yes,Good,Under-7,H
M,Egypt,Egypt,MiddleSchool,G-07,B,Science,S,Mum,92.0,80.0,88.0,76.0,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10.0,20.0,22.0,97.0,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-07,B,Science,S,Mum,82.0,89.0,58.0,50.0,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Father,50.0,62.0,73.0,43.0,Yes,Bad,Above-7,M
M,USA,USA,lowerlevel,G-02,B,IT,F,Father,55.0,89.0,40.0,40.0,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Father,35.0,14.0,23.0,62.0,No,Bad,Above-7,L
M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,F,Father,80.0,83.0,82.0,71.0,Yes,Good,Above-7,M
M,Jordan,Palestine,MiddleSchool,G-07,A,Biology,F,Mum,78.0,91.0,50.0,40.0,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,B,French,F,Mum,13.0,82.0,20.0,30.0,No,Good,Under-7,H
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,14.0,13.0,3.0,70.0,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,A,English,S,Father,59.0,97.0,42.0,70.0,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,A,English,S,Mum,97.0,87.0,82.0,86.0,No,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,A,English,S,Mum,75.0,71.0,76.0,80.0,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,B,Arabic,S,Mum,15.0,90.0,52.0,83.0,Yes,Bad,Under-7,H
F,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,62.0,68.0,48.0,80.0,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,A,IT,F,Father,22.0,30.0,10.0,12.0,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,80.0,80.0,15.0,70.0,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,80.0,44.0,35.0,10.0,No,Good,Above-7,L
M,KW,KuwaIT,HighSchool,G-10,A,IT,F,Father,0.0,5.0,7.0,2.0,No,Bad,Above-7,L
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,3.0,12.0,4.0,33.0,No,Bad,Under-7,L
F,Lybia,Lybia,MiddleSchool,G-07,B,Biology,F,Mum,10.0,9.0,2.0,1.0,No,Good,Above-7,L
F,Jordan,lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100.0,75.0,50.0,70.0,Yes,Bad,Under-7,H
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,10.0,7.0,0.0,30.0,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Father,39.0,88.0,43.0,72.0,Yes,Good,Under-7,M
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Father,20.0,14.0,12.0,70.0,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-04,A,Science,F,Father,49.0,36.0,32.0,44.0,No,Bad,Above-7,L
F,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,30.0,40.0,22.0,66.0,Yes,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,10.0,3.0,0.0,30.0,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,0.0,2.0,3.0,70.0,Yes,Good,Above-7,L
F,Palestine,Palestine,lowerlevel,G-04,A,Science,F,Mum,90.0,86.0,82.0,74.0,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,15.0,9.0,14.0,80.0,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Mum,72.0,90.0,12.0,30.0,No,Bad,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-08,A,History,S,Father,78.0,82.0,78.0,53.0,Yes,Good,Under-7,M
M,Tunis,Tunis,lowerlevel,G-02,B,French,S,Mum,80.0,92.0,83.0,43.0,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,85.0,87.0,72.0,10.0,Yes,Good,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Spanish,S,Father,5.0,3.0,2.0,10.0,Yes,Good,Under-7,L
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Mum,32.0,60.0,58.0,66.0,Yes,Good,Above-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50.0,70.0,50.0,10.0,Yes,Good,Above-7,H
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,79.0,91.0,49.0,22.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Mum,96.0,61.0,42.0,94.0,Yes,Bad,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,7.0,5.0,2.0,80.0,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,19.0,20.0,16.0,50.0,No,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,S,Mum,83.0,75.0,62.0,53.0,No,Bad,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-07,B,Biology,S,Mum,59.0,90.0,19.0,43.0,No,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-08,C,Spanish,S,Father,5.0,21.0,42.0,14.0,No,Good,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,11.0,20.0,20.0,98.0,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80.0,82.0,64.0,58.0,Yes,Good,Under-7,H
F,Iraq,Iraq,MiddleSchool,G-07,A,Biology,F,Mum,86.0,98.0,50.0,20.0,Yes,Good,Under-7,H
F,lebanon,lebanon,MiddleSchool,G-08,A,Arabic,S,Father,25.0,15.0,32.0,53.0,No,Bad,Under-7,M
M,Egypt,Egypt,lowerlevel,G-02,B,French,F,Mum,5.0,13.0,6.0,6.0,No,Good,Above-7,L
M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,F,Father,80.0,87.0,74.0,68.0,Yes,Good,Under-7,M
F,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,30.0,35.0,28.0,90.0,Yes,Good,Under-7,M
F,KW,KuwaIT,HighSchool,G-12,A,English,F,Mum,70.0,4.0,39.0,90.0,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,60.0,60.0,3.0,60.0,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-04,A,Science,S,Father,32.0,14.0,32.0,29.0,No,Good,Above-7,M
M,Palestine,Jordan,MiddleSchool,G-07,B,Biology,F,Father,88.0,90.0,76.0,81.0,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Father,15.0,50.0,24.0,43.0,Yes,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,70.0,90.0,41.0,33.0,Yes,Bad,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,B,Arabic,F,Father,10.0,10.0,40.0,51.0,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,12.0,0.0,6.0,13.0,No,Bad,Under-7,L
