raisedhands,VisITedResources,AnnouncementsView,Discussion,gender,NationalITy,PlaceofBirth,GradeID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
70.0,69.0,46.0,45.0,F,Jordan,Jordan,G-08,Geology,F,Mum,Yes,Good,Above-7,M
12.0,30.0,0.0,17.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Good,Above-7,L
49.0,70.0,19.0,75.0,F,KW,KuwaIT,G-11,Science,F,Mum,Yes,Good,Under-7,H
72.0,87.0,72.0,89.0,M,Iraq,Iraq,G-08,History,F,Father,Yes,Good,Above-7,M
70.0,92.0,50.0,7.0,F,KW,KuwaIT,G-02,IT,F,Mum,Yes,Good,Under-7,H
80.0,87.0,72.0,60.0,F,KW,KuwaIT,G-04,History,S,Mum,No,Good,Under-7,H
21.0,27.0,52.0,34.0,F,KW,KuwaIT,G-04,History,S,Mum,Yes,Good,Above-7,M
70.0,80.0,25.0,70.0,F,KW,KuwaIT,G-07,IT,F,Father,Yes,Good,Under-7,M
10.0,58.0,51.0,48.0,M,Jordan,Jordan,G-02,Arabic,S,Father,Yes,Good,Above-7,M
1.0,0.0,1.0,12.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Above-7,L
69.0,76.0,82.0,94.0,F,KW,KuwaIT,G-04,Science,S,Father,No,Bad,Under-7,M
75.0,72.0,64.0,39.0,M,Jordan,Jordan,G-08,Chemistry,F,Mum,Yes,Good,Above-7,L
71.0,70.0,65.0,69.0,M,Palestine,Jordan,G-06,English,F,Mum,Yes,Good,Under-7,M
12.0,11.0,8.0,40.0,M,KW,KuwaIT,G-07,Science,F,Father,No,Bad,Above-7,L
10.0,17.0,50.0,21.0,M,Jordan,Jordan,G-02,Arabic,F,Father,No,Bad,Under-7,M
90.0,88.0,54.0,12.0,F,Jordan,Jordan,G-07,Biology,S,Mum,Yes,Good,Above-7,M
60.0,92.0,83.0,23.0,M,Jordan,Jordan,G-02,French,F,Mum,Yes,Good,Under-7,H
27.0,41.0,32.0,61.0,M,Iran,Iran,G-08,Spanish,S,Mum,Yes,Bad,Above-7,M
4.0,10.0,11.0,7.0,M,Jordan,SaudiArabia,G-02,Arabic,F,Mum,No,Good,Above-7,L
55.0,13.0,35.0,90.0,M,KW,KuwaIT,G-07,Math,F,Father,No,Bad,Above-7,M
20.0,14.0,12.0,19.0,M,lebanon,lebanon,G-08,Math,F,Father,No,Bad,Above-7,L
85.0,89.0,22.0,61.0,M,Jordan,SaudiArabia,G-08,Geology,F,Father,No,Bad,Under-7,H
23.0,63.0,71.0,89.0,M,SaudiArabia,USA,G-11,Science,S,Father,Yes,Good,Under-7,M
11.0,20.0,21.0,23.0,F,Jordan,Jordan,G-04,Science,F,Mum,No,Bad,Under-7,M
100.0,75.0,50.0,70.0,F,lebanon,lebanon,G-07,Quran,S,Mum,Yes,Good,Under-7,H
60.0,52.0,23.0,33.0,M,Tunis,Tunis,G-02,French,S,Mum,Yes,Bad,Under-7,H
8.0,7.0,30.0,40.0,M,KW,KuwaIT,G-07,IT,F,Father,Yes,Good,Above-7,L
12.0,10.0,20.0,16.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Under-7,L
2.0,7.0,4.0,8.0,F,Jordan,Jordan,G-08,Chemistry,F,Father,No,Bad,Above-7,L
80.0,80.0,46.0,61.0,M,Jordan,Jordan,G-07,Biology,F,Father,Yes,Bad,Under-7,M
20.0,20.0,3.0,25.0,M,KW,KuwaIT,G-04,IT,F,Father,Yes,Good,Under-7,M
50.0,88.0,30.0,80.0,M,KW,KuwaIT,G-07,Math,F,Father,Yes,Good,Under-7,H
80.0,90.0,55.0,19.0,M,KW,KuwaIT,G-02,IT,F,Father,Yes,Good,Under-7,H
39.0,26.0,12.0,44.0,M,KW,KuwaIT,G-04,Arabic,S,Father,No,Bad,Above-7,L
90.0,79.0,76.0,79.0,F,Jordan,Jordan,G-08,Geology,F,Mum,Yes,Good,Under-7,H
24.0,97.0,15.0,14.0,F,Jordan,Jordan,G-02,French,S,Mum,No,Good,Under-7,H
22.0,20.0,18.0,6.0,M,KW,KuwaIT,G-07,Science,S,Father,No,Bad,Above-7,L
51.0,79.0,85.0,89.0,F,Jordan,Jordan,G-06,English,F,Mum,Yes,Good,Under-7,H
49.0,94.0,42.0,7.0,M,Egypt,Egypt,G-04,Math,S,Mum,No,Bad,Above-7,M
70.0,92.0,83.0,85.0,M,KW,KuwaIT,G-07,IT,S,Mum,Yes,Bad,Under-7,H
50.0,70.0,19.0,15.0,F,KW,KuwaIT,G-02,IT,F,Father,Yes,Good,Under-7,H
70.0,83.0,29.0,33.0,M,Iraq,Iraq,G-02,Arabic,S,Mum,Yes,Good,Under-7,H
80.0,90.0,55.0,19.0,M,KW,KuwaIT,G-07,Quran,S,Father,Yes,Good,Under-7,H
69.0,77.0,76.0,75.0,M,Jordan,Jordan,G-08,History,F,Mum,Yes,Good,Above-7,M
32.0,88.0,32.0,25.0,M,Jordan,Jordan,G-02,French,F,Father,Yes,Good,Under-7,M
25.0,82.0,52.0,20.0,F,Jordan,Jordan,G-08,Geology,F,Father,Yes,Good,Above-7,M
32.0,44.0,29.0,89.0,F,Jordan,Jordan,G-04,Science,S,Father,Yes,Bad,Under-7,M
12.0,50.0,8.0,30.0,M,KW,KuwaIT,G-12,English,F,Mum,No,Bad,Above-7,L
89.0,96.0,45.0,92.0,F,Jordan,Jordan,G-08,Chemistry,S,Mum,Yes,Good,Under-7,H
9.0,7.0,9.0,3.0,F,Lybia,Lybia,G-07,Biology,S,Mum,No,Good,Above-7,L
85.0,88.0,79.0,70.0,M,Palestine,Palestine,G-08,Geology,S,Father,Yes,Good,Under-7,M
100.0,91.0,98.0,40.0,F,SaudiArabia,USA,G-11,Science,S,Father,Yes,Bad,Under-7,H
89.0,92.0,89.0,83.0,M,Iraq,Iraq,G-07,Biology,S,Father,Yes,Good,Under-7,H
29.0,22.0,9.0,20.0,M,KW,KuwaIT,G-07,IT,F,Father,Yes,Good,Under-7,M
55.0,74.0,25.0,29.0,F,Jordan,Jordan,G-08,Geology,S,Father,No,Bad,Under-7,M
50.0,90.0,40.0,90.0,M,KW,KuwaIT,G-02,IT,F,Father,Yes,Bad,Under-7,M
10.0,17.0,12.0,40.0,M,KW,KuwaIT,G-04,History,S,Father,Yes,Good,Under-7,H
72.0,41.0,46.0,27.0,M,Palestine,Jordan,G-06,English,S,Mum,No,Good,Under-7,M
92.0,81.0,32.0,36.0,F,Jordan,Jordan,G-06,English,S,Mum,No,Good,Under-7,M
20.0,22.0,53.0,13.0,M,Iran,Iran,G-02,French,S,Mum,No,Good,Above-7,L
32.0,82.0,59.0,63.0,M,Jordan,Jordan,G-02,Arabic,S,Mum,Yes,Bad,Above-7,M
81.0,79.0,91.0,85.0,F,Jordan,Jordan,G-06,English,S,Mum,Yes,Good,Under-7,H
62.0,64.0,69.0,49.0,F,Jordan,Jordan,G-04,Science,S,Mum,Yes,Good,Under-7,H
11.0,2.0,0.0,50.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Above-7,L
10.0,98.0,41.0,38.0,M,Jordan,Jordan,G-02,Arabic,S,Father,Yes,Good,Above-7,M
71.0,81.0,83.0,72.0,M,Iraq,Iraq,G-08,Geology,S,Father,Yes,Good,Above-7,M
9.0,6.0,15.0,85.0,F,Jordan,Jordan,G-08,Chemistry,S,Father,No,Bad,Above-7,L
85.0,75.0,62.0,53.0,M,KW,KuwaIT,G-08,Arabic,S,Mum,Yes,Bad,Under-7,H
39.0,15.0,16.0,50.0,M,KW,KuwaIT,G-12,English,F,Father,No,Good,Above-7,L
27.0,15.0,42.0,53.0,M,Morocco,Morocco,G-08,Arabic,S,Father,No,Bad,Above-7,L
70.0,83.0,70.0,23.0,M,Jordan,Jordan,G-08,Geology,S,Mum,Yes,Good,Under-7,M
22.0,34.0,15.0,9.0,M,Jordan,Jordan,G-04,Science,S,Father,No,Bad,Above-7,L
69.0,15.0,36.0,96.0,F,KW,KuwaIT,G-07,IT,F,Mum,Yes,Good,Under-7,M
73.0,84.0,77.0,81.0,M,KW,KuwaIT,G-11,Math,S,Mum,Yes,Good,Above-7,H
10.0,0.0,2.0,41.0,M,Jordan,SaudiArabia,G-08,Chemistry,F,Father,No,Bad,Above-7,L
70.0,80.0,95.0,70.0,F,KW,USA,G-11,Quran,S,Mum,Yes,Good,Under-7,H
85.0,82.0,59.0,63.0,M,Jordan,Jordan,G-07,Biology,S,Father,Yes,Bad,Under-7,M
10.0,12.0,7.0,33.0,M,KW,KuwaIT,G-09,IT,F,Father,Yes,Good,Above-7,L
52.0,10.0,13.0,6.0,M,Jordan,Jordan,G-07,Science,S,Father,No,Bad,Above-7,L
30.0,10.0,20.0,5.0,M,Jordan,Jordan,G-02,French,S,Father,No,Bad,Above-7,L
0.0,6.0,4.0,15.0,M,KW,KuwaIT,G-02,IT,F,Father,Yes,Bad,Under-7,L
80.0,81.0,71.0,30.0,M,Jordan,Jordan,G-08,Geology,F,Mum,Yes,Good,Under-7,M
8.0,22.0,9.0,40.0,M,KW,KuwaIT,G-05,English,F,Father,No,Bad,Above-7,L
88.0,90.0,86.0,81.0,M,Palestine,Palestine,G-07,Biology,F,Father,Yes,Good,Under-7,H
35.0,97.0,41.0,23.0,M,Jordan,Jordan,G-02,French,S,Mum,Yes,Good,Under-7,H
10.0,12.0,29.0,93.0,F,Jordan,Jordan,G-02,Arabic,S,Father,No,Bad,Above-7,L
60.0,70.0,63.0,93.0,F,SaudiArabia,SaudiArabia,G-02,French,S,Father,Yes,Bad,Under-7,H
82.0,31.0,52.0,25.0,M,Palestine,Jordan,G-06,English,F,Mum,No,Good,Under-7,M
5.0,2.0,6.0,5.0,M,KW,KuwaIT,G-07,Math,F,Father,Yes,Good,Above-7,L
70.0,50.0,40.0,99.0,M,KW,KuwaIT,G-07,IT,F,Mum,Yes,Good,Under-7,H
100.0,85.0,85.0,70.0,M,Jordan,USA,G-07,Quran,F,Mum,No,Bad,Under-7,M
90.0,90.0,57.0,22.0,F,Iraq,Iraq,G-07,Biology,S,Mum,Yes,Good,Under-7,H
2.0,19.0,10.0,50.0,F,KW,KuwaIT,G-07,IT,F,Father,Yes,Good,Above-7,L
24.0,35.0,23.0,22.0,F,KW,KuwaIT,G-02,IT,F,Mum,Yes,Good,Above-7,M
53.0,88.0,9.0,33.0,M,Jordan,Jordan,G-07,Biology,S,Father,No,Bad,Under-7,M
85.0,66.0,12.0,23.0,F,KW,KuwaIT,G-08,Arabic,S,Father,No,Bad,Under-7,M
42.0,30.0,13.0,70.0,F,KW,KuwaIT,G-04,IT,F,Father,Yes,Bad,Above-7,M
90.0,98.0,41.0,38.0,M,Palestine,Jordan,G-02,Arabic,F,Father,Yes,Good,Under-7,H
71.0,84.0,67.0,80.0,M,Jordan,Jordan,G-08,Geology,S,Mum,Yes,Good,Under-7,M
95.0,57.0,74.0,89.0,M,Palestine,Jordan,G-04,Science,F,Mum,Yes,Good,Above-7,M
60.0,87.0,23.0,11.0,F,Jordan,Jordan,G-02,French,F,Mum,Yes,Good,Above-7,M
22.0,20.0,6.0,26.0,M,Jordan,Jordan,G-06,English,S,Father,No,Bad,Under-7,H
27.0,41.0,49.0,14.0,M,Tunis,Tunis,G-08,Spanish,S,Mum,No,Bad,Under-7,M
15.0,25.0,37.0,13.0,M,KW,KuwaIT,G-08,Arabic,S,Father,Yes,Good,Above-7,L
74.0,60.0,56.0,37.0,M,Iraq,Iraq,G-06,English,S,Mum,No,Good,Under-7,H
62.0,70.0,44.0,60.0,F,KW,KuwaIT,G-08,Math,F,Mum,No,Bad,Above-7,H
95.0,82.0,82.0,70.0,F,lebanon,lebanon,G-06,English,F,Mum,Yes,Good,Under-7,H
45.0,95.0,12.0,13.0,M,KW,KuwaIT,G-08,Arabic,S,Father,No,Bad,Under-7,M
81.0,82.0,69.0,13.0,M,Jordan,Jordan,G-08,Chemistry,S,Mum,Yes,Good,Above-7,M
90.0,91.0,80.0,81.0,M,Iraq,Iraq,G-08,Chemistry,F,Father,Yes,Good,Under-7,H
80.0,90.0,70.0,80.0,M,venzuela,venzuela,G-10,IT,F,Mum,Yes,Good,Under-7,H
10.0,79.0,30.0,30.0,F,lebanon,lebanon,G-07,Quran,S,Father,No,Bad,Under-7,M
60.0,52.0,23.0,33.0,M,KW,KuwaIT,G-02,French,S,Mum,No,Good,Under-7,M
62.0,61.0,82.0,40.0,M,KW,KuwaIT,G-08,Spanish,S,Father,Yes,Bad,Under-7,M
29.0,10.0,12.0,24.0,M,Jordan,Jordan,G-08,Arabic,S,Father,No,Bad,Above-7,L
80.0,82.0,76.0,19.0,M,Jordan,Jordan,G-08,Chemistry,F,Mum,Yes,Good,Under-7,M
72.0,80.0,58.0,66.0,M,Jordan,Jordan,G-07,Science,S,Mum,No,Bad,Under-7,M
10.0,15.0,10.0,21.0,M,Jordan,Jordan,G-02,French,F,Father,No,Bad,Above-7,L
60.0,80.0,50.0,40.0,F,KW,USA,G-11,Quran,F,Mum,No,Bad,Under-7,M
14.0,60.0,11.0,75.0,F,KW,KuwaIT,G-02,IT,F,Father,Yes,Good,Under-7,H
40.0,87.0,50.0,41.0,M,Jordan,Jordan,G-02,French,F,Mum,No,Bad,Under-7,M
72.0,98.0,52.0,15.0,F,lebanon,lebanon,G-02,French,F,Mum,Yes,Good,Under-7,H
10.0,12.0,20.0,13.0,M,Jordan,Jordan,G-04,Science,F,Father,No,Bad,Above-7,L
0.0,4.0,8.0,30.0,M,KW,KuwaIT,G-02,IT,F,Mum,No,Bad,Above-7,L
70.0,99.0,66.0,65.0,F,KW,KuwaIT,G-04,History,S,Father,No,Good,Under-7,M
11.0,70.0,32.0,29.0,M,Jordan,Jordan,G-06,English,S,Father,Yes,Good,Above-7,M
85.0,15.0,22.0,53.0,M,KW,KuwaIT,G-08,Arabic,S,Mum,Yes,Good,Under-7,M
72.0,21.0,22.0,26.0,M,Palestine,Jordan,G-06,English,F,Mum,Yes,Good,Under-7,H
19.0,30.0,26.0,19.0,F,KW,KuwaIT,G-07,English,F,Father,Yes,Bad,Above-7,M
18.0,17.0,26.0,34.0,M,Jordan,Jordan,G-04,Science,F,Father,No,Good,Above-7,M
40.0,38.0,32.0,36.0,M,Jordan,Jordan,G-06,English,F,Father,No,Bad,Above-7,M
21.0,12.0,0.0,50.0,M,KW,KuwaIT,G-02,IT,F,Mum,Yes,Good,Under-7,M
25.0,27.0,0.0,69.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Above-7,L
20.0,12.0,15.0,70.0,M,KW,KuwaIT,G-07,Quran,F,Father,No,Good,Above-7,L
60.0,55.0,30.0,40.0,F,Jordan,Jordan,G-07,Quran,S,Father,No,Bad,Under-7,M
5.0,4.0,5.0,8.0,F,Jordan,Jordan,G-08,Chemistry,S,Father,No,Bad,Above-7,L
12.0,22.0,59.0,83.0,M,Jordan,Jordan,G-02,Arabic,S,Father,Yes,Bad,Above-7,L
69.0,77.0,83.0,92.0,M,Iraq,Iraq,G-08,History,S,Father,Yes,Good,Above-7,M
29.0,78.0,40.0,12.0,F,Jordan,Jordan,G-08,Geology,S,Father,Yes,Good,Above-7,M
77.0,80.0,51.0,80.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Good,Under-7,M
25.0,15.0,12.0,33.0,M,KW,KuwaIT,G-08,Arabic,F,Father,No,Bad,Above-7,L
65.0,86.0,62.0,40.0,M,KW,KuwaIT,G-04,IT,S,Father,No,Good,Above-7,M
20.0,90.0,50.0,61.0,M,Jordan,Jordan,G-02,Arabic,F,Mum,Yes,Bad,Above-7,M
19.0,98.0,20.0,2.0,F,Jordan,Jordan,G-08,Chemistry,S,Father,Yes,Good,Under-7,H
87.0,81.0,42.0,19.0,M,Tunis,Tunis,G-08,Spanish,S,Mum,Yes,Good,Under-7,H
17.0,50.0,2.0,4.0,M,KW,KuwaIT,G-08,Spanish,S,Father,No,Bad,Above-7,L
51.0,82.0,53.0,43.0,M,KW,KuwaIT,G-02,French,S,Mum,No,Bad,Under-7,M
98.0,87.0,86.0,84.0,F,Jordan,Jordan,G-04,Science,F,Mum,No,Good,Under-7,H
76.0,81.0,80.0,86.0,M,Jordan,Jordan,G-07,Biology,F,Father,No,Good,Under-7,H
95.0,91.0,62.0,53.0,M,KW,KuwaIT,G-08,Arabic,S,Mum,Yes,Good,Under-7,M
41.0,39.0,35.0,39.0,M,Jordan,Jordan,G-06,English,S,Father,Yes,Bad,Above-7,M
87.0,81.0,22.0,70.0,M,KW,KuwaIT,G-08,Spanish,S,Mum,Yes,Bad,Under-7,H
80.0,89.0,23.0,68.0,M,Jordan,SaudiArabia,G-08,Geology,S,Father,No,Bad,Under-7,H
70.0,58.0,73.0,91.0,M,SaudiArabia,USA,G-11,Math,S,Father,Yes,Bad,Under-7,H
70.0,76.0,65.0,70.0,M,Jordan,Jordan,G-08,History,S,Mum,Yes,Good,Above-7,M
80.0,90.0,49.0,55.0,F,lebanon,lebanon,G-07,Math,F,Mum,Yes,Bad,Under-7,H
12.0,60.0,0.0,70.0,M,KW,KuwaIT,G-02,IT,S,Father,Yes,Good,Above-7,L
70.0,82.0,75.0,29.0,M,Jordan,Jordan,G-08,Chemistry,S,Mum,Yes,Good,Under-7,M
74.0,62.0,49.0,43.0,F,Jordan,Jordan,G-08,Geology,S,Mum,Yes,Good,Above-7,M
23.0,82.0,20.0,30.0,F,Jordan,Jordan,G-02,French,S,Mum,No,Good,Under-7,H
87.0,92.0,74.0,89.0,M,Jordan,Jordan,G-08,History,F,Mum,Yes,Good,Under-7,H
89.0,92.0,89.0,83.0,M,Palestine,Palestine,G-07,Biology,S,Father,Yes,Good,Under-7,H
33.0,33.0,30.0,90.0,F,KW,KuwaIT,G-09,IT,F,Father,No,Bad,Under-7,M
7.0,4.0,10.0,50.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Good,Above-7,M
10.0,60.0,5.0,20.0,M,Tunis,Tunis,G-07,Quran,F,Father,Yes,Bad,Above-7,L
88.0,81.0,50.0,10.0,F,Jordan,Jordan,G-07,Biology,F,Mum,Yes,Good,Above-7,M
10.0,18.0,71.0,38.0,M,Jordan,Jordan,G-02,Arabic,F,Father,Yes,Good,Above-7,M
55.0,90.0,16.0,40.0,F,KW,KuwaIT,G-12,English,F,Father,No,Bad,Under-7,M
50.0,70.0,32.0,40.0,M,KW,KuwaIT,G-10,IT,F,Father,Yes,Good,Under-7,M
100.0,80.0,2.0,70.0,F,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Under-7,H
80.0,95.0,21.0,28.0,M,Iraq,Iraq,G-02,Arabic,F,Father,Yes,Good,Under-7,H
25.0,29.0,34.0,33.0,M,Jordan,Jordan,G-04,Science,F,Father,No,Good,Above-7,M
15.0,70.0,37.0,44.0,M,Iran,Iran,G-09,IT,F,Mum,Yes,Good,Under-7,M
2.0,11.0,62.0,30.0,M,KW,KuwaIT,G-08,Spanish,S,Father,No,Bad,Under-7,L
4.0,5.0,40.0,16.0,M,KW,KuwaIT,G-07,IT,F,Father,Yes,Good,Above-7,L
92.0,65.0,62.0,53.0,M,KW,KuwaIT,G-08,Arabic,S,Mum,Yes,Good,Under-7,H
50.0,95.0,23.0,10.0,F,Jordan,Jordan,G-02,French,S,Mum,Yes,Good,Under-7,H
79.0,84.0,82.0,37.0,F,Jordan,Jordan,G-06,English,S,Mum,No,Bad,Under-7,H
12.0,44.0,25.0,39.0,F,Jordan,Jordan,G-04,Science,S,Mum,No,Bad,Under-7,M
35.0,80.0,50.0,70.0,F,KW,KuwaIT,G-08,Arabic,F,Father,Yes,Good,Under-7,H
96.0,95.0,70.0,70.0,F,Syria,Syria,G-07,Biology,F,Mum,Yes,Good,Under-7,H
18.0,28.0,40.0,20.0,M,Jordan,Jordan,G-06,English,S,Father,Yes,Bad,Above-7,M
70.0,75.0,55.0,11.0,M,Tunis,SaudiArabia,G-07,Quran,S,Father,Yes,Bad,Under-7,M
84.0,92.0,29.0,43.0,F,Jordan,Jordan,G-08,Chemistry,S,Mum,Yes,Good,Under-7,H
17.0,80.0,13.0,10.0,F,Iraq,Iraq,G-02,French,S,Father,No,Good,Under-7,M
25.0,89.0,21.0,13.0,F,Jordan,Jordan,G-02,French,S,Mum,Yes,Good,Under-7,M
89.0,92.0,40.0,28.0,F,Iraq,Iraq,G-02,Arabic,F,Mum,Yes,Good,Under-7,H
82.0,89.0,22.0,31.0,F,Jordan,Jordan,G-08,Chemistry,F,Mum,Yes,Good,Under-7,H
28.0,60.0,19.0,50.0,M,KW,KuwaIT,G-07,Math,F,Father,Yes,Good,Under-7,M
24.0,35.0,18.0,31.0,M,Syria,Syria,G-02,French,F,Father,No,Bad,Under-7,M
