raisedhands,VisITedResources,AnnouncementsView,Discussion,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
0.5,0.888888888888889,0.3061224489795918,0.8061224489795917,1,4,4,1,4,0,8,0,0,1,1,1,H
0.32,0.8282828282828284,0.6020408163265306,0.6326530612244897,1,3,3,2,0,1,0,1,1,1,0,0,M
0.5,0.6262626262626263,0.13265306122448978,0.32653061224489793,1,3,3,2,0,1,4,1,0,0,0,0,L
0.6,0.8080808080808082,0.5102040816326531,0.39795918367346933,0,4,11,0,8,0,9,0,1,0,0,1,M
0.7000000000000001,0.9292929292929294,0.5102040816326531,0.061224489795918366,0,4,4,2,0,1,7,0,1,1,1,1,H
0.12,0.6060606060606061,0.0,0.7040816326530611,1,4,4,2,0,0,7,1,0,1,1,0,L
1.0,0.7575757575757577,0.5102040816326531,0.7040816326530611,0,12,12,1,4,0,9,1,1,1,1,1,H
0.89,0.9292929292929294,0.9081632653061223,0.836734693877551,1,2,2,1,4,1,1,1,0,1,1,1,H
0.8,0.8787878787878789,0.7346938775510203,0.6020408163265305,0,4,4,2,1,0,6,1,1,0,1,1,H
0.09,0.06060606060606061,0.1530612244897959,0.8571428571428571,0,3,3,1,5,0,2,1,0,0,0,0,L
0.02,0.0,0.02040816326530612,0.5,1,4,4,1,4,0,7,0,0,0,0,0,L
0.6900000000000001,0.7777777777777778,0.846938775510204,0.9285714285714285,1,2,2,1,5,0,6,1,0,1,1,0,M
0.24,0.9797979797979799,0.1530612244897959,0.13265306122448978,0,3,3,2,0,1,4,1,1,0,1,1,H
0.29,0.10101010101010102,0.12244897959183673,0.2346938775510204,1,3,3,1,5,1,0,1,0,0,0,0,L
0.6,0.5252525252525253,0.2346938775510204,0.32653061224489793,1,10,10,2,0,1,4,1,1,1,0,1,H
0.71,0.8181818181818182,0.846938775510204,0.7244897959183673,1,2,2,1,5,0,5,1,0,1,1,0,M
0.85,0.888888888888889,0.8061224489795917,0.7040816326530611,1,7,7,1,5,0,5,1,0,1,1,1,M
0.5,0.10101010101010102,0.1530612244897959,0.21428571428571425,1,4,4,1,4,0,8,0,0,1,1,1,M
0.08,0.07070707070707072,0.3061224489795918,0.39795918367346933,1,4,4,1,4,0,7,0,0,1,1,0,L
0.06,0.020202020202020204,0.3877551020408163,0.11224489795918367,0,4,4,2,0,1,7,0,0,0,0,1,M
0.6900000000000001,0.7777777777777778,0.7755102040816326,0.7551020408163265,1,3,3,1,5,0,6,0,1,1,1,0,M
0.1,0.20202020202020204,0.22448979591836732,0.9795918367346937,0,3,3,2,0,0,0,0,0,0,0,0,L
0.25,0.27272727272727276,0.0,0.693877551020408,1,4,4,2,0,1,7,0,0,0,0,0,L
0.25,0.15151515151515152,0.12244897959183673,0.32653061224489793,1,4,4,1,5,0,0,0,0,0,0,0,L
0.45,0.8787878787878789,0.5816326530612245,0.8061224489795917,0,3,3,1,5,0,6,0,0,1,1,1,M
0.8,0.42424242424242425,0.2040816326530612,0.5,1,3,3,2,0,2,7,0,0,1,1,1,M
0.6,0.9292929292929294,0.846938775510204,0.22448979591836732,1,3,3,2,0,0,4,0,1,1,1,1,H
0.71,0.7070707070707072,0.6632653061224489,0.693877551020408,1,7,3,1,3,0,3,0,1,1,1,1,M
0.42,0.30303030303030304,0.13265306122448978,0.7040816326530611,0,4,4,2,1,0,7,0,0,1,0,0,M
0.5,0.9090909090909092,0.4081632653061224,0.9081632653061223,1,4,4,2,0,1,7,0,0,1,0,1,M
0.22,0.20202020202020204,0.061224489795918366,0.2551020408163265,1,3,3,1,3,0,3,1,0,0,0,1,H
0.5,0.7070707070707072,0.19387755102040816,0.14285714285714282,0,4,4,2,0,1,7,0,0,1,1,1,H
0.7000000000000001,0.12121212121212122,0.4081632653061224,0.5,1,8,8,2,0,1,7,0,0,1,1,1,H
0.27,0.4141414141414142,0.32653061224489793,0.6122448979591836,1,1,1,1,5,2,11,1,1,1,0,0,M
0.55,0.797979797979798,0.44897959183673464,0.42857142857142855,0,3,3,2,1,1,10,0,1,1,1,1,H
0.87,0.48484848484848486,0.836734693877551,0.9693877551020408,0,4,4,1,3,0,8,1,0,0,0,0,M
0.85,0.7575757575757577,0.6326530612244897,0.5306122448979591,1,4,4,1,5,0,0,1,1,1,0,1,H
0.1,0.7575757575757577,0.5612244897959183,0.1020408163265306,1,10,10,1,4,0,9,1,0,1,1,1,M
0.8,0.9090909090909092,0.5612244897959183,0.18367346938775508,1,4,4,2,0,1,7,0,0,1,1,1,H
0.85,0.8282828282828284,0.6020408163265306,0.6326530612244897,1,3,3,1,4,0,1,1,0,1,0,1,M
0.9,0.797979797979798,0.7755102040816326,0.7959183673469387,0,3,3,1,5,0,5,0,1,1,1,1,H
0.7000000000000001,0.9292929292929294,0.846938775510204,0.8571428571428571,1,4,4,1,4,1,7,1,1,1,0,1,H
0.7000000000000001,1.0,0.673469387755102,0.6530612244897959,0,4,4,2,1,0,6,1,0,0,1,1,M
0.81,0.797979797979798,0.9285714285714285,0.8571428571428571,0,3,3,1,3,0,3,1,1,1,1,1,H
0.8,0.8383838383838385,0.836734693877551,0.7142857142857142,1,2,2,1,5,0,5,0,0,1,1,0,M
0.21,0.12121212121212122,0.0,0.5,1,4,4,2,0,2,7,0,1,1,1,1,M
0.05,0.20202020202020204,0.01020408163265306,0.5,1,4,4,2,0,1,7,0,0,1,1,0,L
0.6900000000000001,0.15151515151515152,0.36734693877551017,0.9693877551020408,0,4,4,1,4,0,7,0,1,1,1,1,M
0.7000000000000001,0.8383838383838385,0.29591836734693877,0.32653061224489793,1,2,2,2,0,1,0,1,1,1,1,1,H
0.8,0.9090909090909092,0.5612244897959183,0.18367346938775508,1,4,4,1,4,0,9,1,0,1,1,1,H
0.1,0.09090909090909091,0.02040816326530612,0.0,0,5,5,1,4,1,1,0,1,0,1,0,L
0.85,0.8989898989898991,0.22448979591836732,0.6122448979591836,1,3,8,1,5,0,5,0,0,0,0,1,H
0.72,0.8080808080808082,0.5918367346938775,0.6632653061224489,0,4,4,1,4,1,10,1,1,1,1,0,M
0.39,0.7171717171717172,0.4081632653061224,0.2551020408163265,1,3,3,1,4,0,1,0,0,0,1,0,M
0.22,0.5151515151515152,0.4897959183673469,0.09183673469387754,1,10,4,1,4,1,10,1,0,0,0,0,L
0.89,0.9696969696969697,0.4591836734693877,0.9285714285714285,0,3,3,1,5,0,2,1,1,1,1,1,H
0.12,0.5050505050505051,0.08163265306122448,0.2959183673469387,1,4,4,0,9,0,3,0,1,0,0,0,L
0.71,0.8484848484848485,0.6836734693877551,0.8061224489795917,1,3,3,1,5,0,5,1,1,1,1,1,M
1.0,0.9191919191919192,0.9999999999999999,0.39795918367346933,0,8,11,0,8,1,10,1,0,1,0,1,H
0.18,0.17171717171717174,0.26530612244897955,0.336734693877551,1,3,3,2,1,0,10,0,0,0,1,0,M
0.75,0.9090909090909092,0.520408163265306,0.16326530612244897,0,12,12,2,0,1,4,1,1,1,1,1,H
0.32,0.888888888888889,0.32653061224489793,0.24489795918367346,1,3,3,2,0,1,4,0,0,1,1,1,M
0.7000000000000001,0.5050505050505051,0.3061224489795918,0.48979591836734687,0,10,11,0,8,1,4,1,0,1,1,1,M
0.51,0.797979797979798,0.8673469387755102,0.8979591836734693,0,3,3,1,3,0,3,0,1,1,1,1,H
0.51,0.8282828282828284,0.5408163265306122,0.42857142857142855,1,4,4,2,0,1,4,1,1,0,0,1,M
0.1,0.17171717171717174,0.5102040816326531,0.2040816326530612,1,3,3,2,0,0,0,0,0,0,0,1,M
0.1,0.17171717171717174,0.12244897959183673,0.39795918367346933,1,4,4,2,1,0,6,1,0,1,1,1,H
0.62,0.6464646464646465,0.7040816326530611,0.48979591836734687,0,3,3,2,1,1,10,1,1,1,1,1,H
0.49,0.7070707070707072,0.19387755102040816,0.7551020408163265,0,4,4,0,8,0,10,0,1,1,1,1,H
0.15,0.16161616161616163,0.02040816326530612,0.19387755102040813,1,4,4,2,1,0,7,0,0,1,1,1,M
0.12,0.0,0.061224489795918366,0.12244897959183672,1,4,4,1,4,1,7,0,0,0,0,1,L
0.5,0.7070707070707072,0.32653061224489793,0.39795918367346933,1,4,4,0,7,0,7,0,0,1,1,1,M
0.7000000000000001,0.5050505050505051,0.336734693877551,0.39795918367346933,1,10,10,0,8,1,10,1,0,0,1,1,M
0.85,0.8787878787878789,0.7346938775510203,0.09183673469387754,1,3,3,1,5,0,2,0,1,1,1,0,M
0.29,0.393939393939394,0.5102040816326531,0.7755102040816326,0,4,4,0,9,0,3,0,0,1,1,1,M
0.2,0.20202020202020204,0.030612244897959183,0.24489795918367346,1,4,4,2,1,0,7,0,0,1,1,1,M
0.2,0.9090909090909092,0.5102040816326531,0.6122448979591836,1,3,3,2,0,1,0,0,1,1,0,0,M
0.65,0.8686868686868687,0.6326530612244897,0.39795918367346933,1,4,4,2,1,0,7,1,0,0,1,0,M
0.2,0.7777777777777778,0.31632653061224486,0.8877551020408162,1,3,3,2,0,1,0,1,1,1,1,1,M
0.73,0.8484848484848485,0.7857142857142857,0.8163265306122448,1,4,4,0,8,1,8,1,1,1,1,0,H
0.02,0.11111111111111112,0.6326530612244897,0.2959183673469387,1,4,4,1,5,1,11,1,0,0,0,1,L
0.7000000000000001,0.8080808080808082,0.9693877551020408,0.7040816326530611,0,4,11,0,8,0,9,1,1,1,1,1,H
0.19,0.20202020202020204,0.16326530612244897,0.5,1,4,4,1,4,0,7,0,0,0,1,1,M
0.1,0.12121212121212122,0.07142857142857142,0.32653061224489793,1,4,4,0,6,0,7,0,0,1,1,0,L
0.5,0.6262626262626263,0.7448979591836734,0.42857142857142855,0,3,3,2,0,1,4,1,0,1,0,0,M
0.4,0.5151515151515152,0.2040816326530612,0.32653061224489793,1,12,12,2,0,1,4,1,1,0,0,1,M
0.39,0.888888888888889,0.4387755102040816,0.7244897959183673,0,3,3,1,5,0,6,1,0,1,1,1,M
0.1,0.5151515151515152,0.4081632653061224,0.39795918367346933,1,8,11,0,8,1,11,1,0,0,0,0,L
0.8,0.7171717171717172,0.5306122448979591,0.510204081632653,0,4,4,1,5,0,0,1,0,1,1,1,M
0.88,0.9090909090909092,0.8775510204081632,0.8163265306122448,1,7,7,1,4,0,1,0,0,1,1,1,H
0.35000000000000003,0.9797979797979799,0.4183673469387755,0.22448979591836732,1,3,3,2,0,1,4,1,1,1,1,1,H
0.15,0.09090909090909091,0.14285714285714285,0.8061224489795917,0,3,3,1,5,0,2,0,0,0,0,0,L
0.6,0.7070707070707072,0.6428571428571428,0.9387755102040816,0,8,8,2,0,1,4,1,0,1,0,1,H
0.05,0.13131313131313133,0.061224489795918366,0.05102040816326531,1,0,0,2,0,1,4,0,1,0,1,0,L
0.27,0.20202020202020204,0.336734693877551,0.346938775510204,1,9,9,2,0,0,4,1,0,0,0,1,M
0.7000000000000001,0.5050505050505051,0.4081632653061224,0.9999999999999999,1,4,4,1,4,1,7,0,1,1,1,1,H
0.32,0.14141414141414144,0.32653061224489793,0.2857142857142857,1,3,3,2,1,0,10,1,0,0,1,0,M
0.9,0.9090909090909092,0.5816326530612245,0.21428571428571425,0,2,2,1,4,0,1,1,1,1,1,1,H
0.3,0.25252525252525254,0.0510204081632653,0.346938775510204,1,4,4,2,1,0,7,0,0,0,0,0,L
0.7000000000000001,0.5050505050505051,0.336734693877551,0.4081632653061224,1,8,11,0,8,1,3,1,0,0,0,0,M
0.0,0.04040404040404041,0.08163265306122448,0.2959183673469387,1,4,4,2,0,2,7,0,1,0,0,0,L
0.36,0.30303030303030304,0.2040816326530612,0.8061224489795917,1,4,4,1,4,1,7,0,0,0,0,0,M
0.1,0.98989898989899,0.4183673469387755,0.37755102040816324,1,3,3,2,0,0,0,1,0,1,1,0,M
0.9,0.98989898989899,0.4183673469387755,0.37755102040816324,1,7,3,2,0,0,0,0,0,1,1,1,H
0.1,0.18181818181818182,0.7244897959183673,0.37755102040816324,1,3,3,2,0,0,0,0,0,1,1,0,M
0.16,0.9090909090909092,0.1530612244897959,0.1020408163265306,0,2,2,2,0,1,4,0,0,0,1,1,M
0.28,0.6060606060606061,0.19387755102040816,0.5,1,4,4,1,4,0,8,0,0,1,1,1,M
0.2,0.22222222222222224,0.5408163265306122,0.12244897959183672,1,1,1,2,0,1,4,1,1,0,1,0,L
0.8,0.8787878787878789,0.7551020408163265,0.6836734693877551,1,7,7,1,5,0,5,0,0,1,1,1,M
0.5,0.4040404040404041,0.5306122448979591,0.6632653061224489,0,4,4,1,3,0,7,1,0,1,0,1,M
0.74,0.6060606060606061,0.5714285714285714,0.36734693877551017,1,2,2,1,3,0,3,1,1,0,1,1,H
0.62,0.7070707070707072,0.44897959183673464,0.6020408163265305,0,4,4,1,5,0,8,0,1,0,0,0,H
0.9500000000000001,0.8282828282828284,0.836734693877551,0.7040816326530611,0,12,12,1,3,0,3,0,1,1,1,1,H
0.1,0.12121212121212122,0.29591836734693877,0.9387755102040816,0,3,3,2,0,1,0,1,0,0,0,0,L
0.55,0.33333333333333337,0.061224489795918366,0.08163265306122448,1,4,4,2,0,1,7,0,0,0,0,0,L
0.9,0.9191919191919192,0.8163265306122448,0.8163265306122448,1,2,2,1,5,0,2,0,0,1,1,1,H
0.79,0.888888888888889,0.8061224489795917,0.19387755102040813,1,3,3,1,5,0,2,1,1,1,1,0,M
0.8,0.9090909090909092,0.7142857142857142,0.8061224489795917,1,13,13,0,7,0,7,0,1,1,1,1,H
0.13,0.05050505050505051,0.18367346938775508,0.18367346938775508,1,4,4,0,9,0,3,0,0,0,0,0,L
0.75,0.7171717171717172,0.7755102040816326,0.8061224489795917,1,7,3,1,3,0,3,1,1,1,1,1,M
0.27,0.22222222222222224,0.22448979591836732,0.39795918367346933,0,11,11,1,4,0,8,0,0,0,1,1,M
0.27,0.15151515151515152,0.42857142857142855,0.5306122448979591,1,6,6,1,5,1,0,1,0,0,0,0,L
0.14,0.13131313131313133,0.030612244897959183,0.7040816326530611,0,4,4,1,4,0,7,0,0,0,0,0,L
0.15,0.04040404040404041,0.12244897959183673,0.061224489795918366,1,5,5,2,0,1,4,1,1,0,1,0,L
0.9500000000000001,0.8787878787878789,0.6326530612244897,0.8163265306122448,1,3,8,1,5,0,5,0,0,0,0,1,M
0.7000000000000001,0.98989898989899,0.07142857142857142,0.04081632653061224,0,12,12,2,0,1,7,0,0,1,1,1,M
0.01,0.0,0.01020408163265306,0.11224489795918367,1,4,4,2,0,1,7,0,0,0,0,0,L
0.02,0.05050505050505051,0.030612244897959183,0.5,1,4,4,2,0,1,7,0,0,0,0,0,L
0.14,0.6060606060606061,0.11224489795918366,0.7551020408163265,0,4,4,2,0,2,7,0,0,1,1,1,H
0.19,0.7272727272727273,0.1530612244897959,0.5,1,9,9,1,4,0,9,0,0,1,1,0,M
0.72,0.98989898989899,0.5306122448979591,0.14285714285714282,0,12,12,2,0,1,4,0,1,1,1,1,H
0.49,0.9494949494949496,0.42857142857142855,0.061224489795918366,1,0,0,2,1,0,8,1,1,0,0,0,M
0.12,0.22222222222222224,0.6020408163265306,0.836734693877551,1,3,3,2,0,1,0,1,0,1,0,0,L
0.8,0.8080808080808082,0.4693877551020408,0.6122448979591836,1,3,3,1,4,0,1,0,0,1,0,1,M
0.6,0.6060606060606061,0.030612244897959183,0.6020408163265305,1,4,4,2,0,2,7,0,0,0,0,1,M
0.3,0.17171717171717174,0.14285714285714285,0.5714285714285714,0,3,3,1,5,0,6,0,0,0,0,0,L
0.72,0.21212121212121213,0.22448979591836732,0.2551020408163265,1,7,3,1,3,0,3,0,1,1,1,1,H
0.15,0.5252525252525253,0.846938775510204,0.1020408163265306,0,11,11,2,0,1,4,1,1,1,0,1,M
0.29,0.22222222222222224,0.09183673469387754,0.19387755102040813,1,4,4,1,4,0,7,0,0,1,1,1,M
0.0,0.05050505050505051,0.07142857142857142,0.01020408163265306,1,4,4,0,7,0,7,0,0,0,0,0,L
0.11,0.20202020202020204,0.21428571428571427,0.22448979591836732,0,3,3,2,1,1,10,0,1,0,0,1,M
0.53,0.7575757575757577,0.7346938775510203,0.22448979591836732,1,6,6,1,5,0,0,1,1,0,0,1,M
0.1,0.07070707070707072,0.0,0.2959183673469387,1,4,4,2,1,0,7,0,0,0,0,0,L
0.03,0.12121212121212122,0.04081632653061224,0.32653061224489793,0,4,4,2,0,1,7,0,0,0,0,1,L
0.81,0.8686868686868687,0.8775510204081632,0.4081632653061224,1,7,3,1,5,0,6,0,0,1,1,1,M
0.6,0.5252525252525253,0.2346938775510204,0.32653061224489793,1,4,4,2,0,1,4,1,1,0,1,1,M
0.2,0.14141414141414144,0.12244897959183673,0.18367346938775508,1,12,12,1,5,0,8,0,0,0,0,0,L
0.11,0.020202020202020204,0.0,0.5,1,4,4,2,0,1,7,0,0,0,0,0,L
0.0,0.0,0.0510204081632653,0.8061224489795917,0,4,4,2,0,1,7,0,0,1,1,0,L
0.1,0.9494949494949496,0.4081632653061224,0.1020408163265306,0,3,3,2,0,1,4,0,1,1,1,1,M
0.12,0.11111111111111112,0.08163265306122448,0.39795918367346933,1,4,4,1,4,1,10,0,0,0,0,0,L
0.4,0.8787878787878789,0.5102040816326531,0.4081632653061224,1,3,3,2,0,1,4,0,1,0,0,1,M
0.0,0.06060606060606061,0.04081632653061224,0.14285714285714282,1,4,4,2,0,2,7,0,0,1,0,1,L
0.8200000000000001,0.31313131313131315,0.5306122448979591,0.24489795918367346,1,7,3,1,3,0,3,0,1,0,1,1,M
0.4,0.38383838383838387,0.32653061224489793,0.3571428571428571,1,3,3,1,3,0,3,0,0,0,0,0,M
0.19,0.98989898989899,0.2040816326530612,0.01020408163265306,0,3,3,1,5,0,2,1,0,1,1,1,H
0.87,0.8181818181818182,0.42857142857142855,0.18367346938775508,1,10,10,1,5,2,11,1,1,1,1,1,H
0.5,0.797979797979798,0.1020408163265306,0.3061224489795918,1,3,3,1,4,1,1,0,0,0,0,1,M
0.04,0.05050505050505051,0.4081632653061224,0.1530612244897959,1,4,4,1,4,0,7,0,0,1,1,0,L
0.02,0.09090909090909091,0.1020408163265306,0.0,1,3,3,1,4,0,1,0,1,0,0,0,L
0.15,0.43434343434343436,0.42857142857142855,0.32653061224489793,1,4,4,1,5,0,0,1,0,1,1,1,M
0.98,0.8787878787878789,0.8775510204081632,0.846938775510204,0,3,3,2,1,0,10,0,1,0,1,1,H
0.32,0.4444444444444445,0.29591836734693877,0.8979591836734693,0,3,3,2,1,1,10,1,0,1,0,1,M
0.62,0.6161616161616162,0.836734693877551,0.39795918367346933,1,4,4,1,5,1,11,1,0,1,0,1,M
0.76,0.8181818181818182,0.8163265306122448,0.8673469387755102,1,3,3,1,4,0,1,0,0,0,1,1,H
0.9500000000000001,0.9191919191919192,0.6326530612244897,0.5306122448979591,1,4,4,1,5,0,0,1,1,1,1,1,M
0.7000000000000001,0.4040404040404041,0.02040816326530612,0.1530612244897959,0,4,4,1,3,0,9,1,0,0,0,0,L
0.55,0.13131313131313133,0.3571428571428571,0.9081632653061223,1,4,4,1,4,0,8,0,0,0,0,0,M
0.87,0.8181818181818182,0.22448979591836732,0.7040816326530611,1,4,4,1,5,1,11,1,1,1,0,1,H
0.8,0.8989898989898991,0.2346938775510204,0.6836734693877551,1,3,8,1,5,0,5,1,0,0,0,1,H
0.7000000000000001,0.5858585858585859,0.7448979591836734,0.9183673469387754,1,8,11,0,8,1,8,1,0,1,0,1,H
0.35000000000000003,0.8080808080808082,0.3469387755102041,0.21428571428571425,1,3,3,1,4,0,1,1,0,0,1,0,M
0.8,0.9090909090909092,0.49999999999999994,0.5510204081632653,0,12,12,1,4,1,8,0,1,1,0,1,H
0.6900000000000001,0.3434343434343435,0.12244897959183673,0.16326530612244897,1,4,4,2,1,0,3,1,1,0,0,0,L
0.0,0.08080808080808081,0.11224489795918366,0.7040816326530611,1,4,4,2,0,1,7,0,0,1,1,0,L
0.42,0.24242424242424243,0.12244897959183673,0.2346938775510204,0,3,3,2,1,0,10,1,0,0,0,0,L
0.24,0.3535353535353536,0.2346938775510204,0.21428571428571425,0,4,4,2,0,2,7,0,1,1,1,0,M
0.72,0.8080808080808082,0.5918367346938775,0.6632653061224489,1,3,3,1,4,1,10,1,1,0,0,1,M
0.25,0.8989898989898991,0.21428571428571427,0.12244897959183672,0,3,3,2,0,1,4,1,1,1,1,1,M
0.23,0.8282828282828284,0.2040816326530612,0.2959183673469387,0,3,3,2,0,1,4,1,1,0,1,1,H
0.87,0.9292929292929294,0.7551020408163265,0.8979591836734693,1,3,3,1,5,0,6,0,1,1,1,1,H
0.89,0.9292929292929294,0.9081632653061223,0.836734693877551,1,7,7,1,4,0,1,1,0,1,1,1,H
0.77,0.8080808080808082,0.12244897959183673,0.18367346938775508,0,4,4,2,0,2,7,0,1,1,1,0,M
0.24,0.3535353535353536,0.18367346938775508,0.3061224489795918,1,9,9,2,0,0,4,0,0,0,0,1,M
0.92,0.31313131313131315,0.42857142857142855,0.26530612244897955,1,7,3,1,3,0,3,1,1,1,1,1,H
0.74,0.6262626262626263,0.49999999999999994,0.42857142857142855,0,3,3,1,5,0,5,1,1,1,1,0,M
0.2,0.888888888888889,0.31632653061224486,0.2755102040816326,1,3,3,2,0,0,0,0,0,1,1,0,M
0.17,0.6161616161616162,0.42857142857142855,0.13265306122448978,1,4,4,1,5,2,11,1,0,0,0,1,M
0.78,0.98989898989899,0.1020408163265306,0.1020408163265306,0,7,3,2,0,1,4,0,0,0,1,1,M
1.0,0.8080808080808082,0.02040816326530612,0.7040816326530611,0,4,4,2,0,1,7,0,0,0,0,1,H
0.8,0.9595959595959597,0.21428571428571427,0.2755102040816326,1,2,2,2,0,0,0,0,0,1,1,1,H
0.85,0.6666666666666667,0.12244897959183673,0.22448979591836732,0,4,4,1,5,0,0,1,0,0,0,1,M
0.39,0.15151515151515152,0.16326530612244897,0.5,1,4,4,0,9,0,3,0,0,0,1,0,L
0.02,0.19191919191919193,0.1020408163265306,0.5,0,4,4,2,4,0,7,0,0,1,1,0,L
0.8,0.8181818181818182,0.7244897959183673,0.2959183673469387,1,3,3,1,5,0,5,0,1,1,1,1,M
0.19,0.6565656565656566,0.5102040816326531,0.09183673469387754,1,10,10,1,4,0,9,1,0,0,0,0,L
0.92,0.6565656565656566,0.6326530612244897,0.5306122448979591,1,4,4,1,5,0,0,1,1,1,1,1,H
0.5,0.9595959595959597,0.2346938775510204,0.09183673469387754,0,3,3,2,0,0,4,1,1,1,1,1,H
0.79,0.8484848484848485,0.836734693877551,0.36734693877551017,0,3,3,1,3,0,3,1,1,0,0,1,H
0.12,0.4444444444444445,0.25510204081632654,0.38775510204081626,0,3,3,2,1,1,10,1,1,0,0,1,M
0.35000000000000003,0.8080808080808082,0.5102040816326531,0.7040816326530611,0,4,4,1,5,0,0,0,0,1,1,1,H
0.96,0.9595959595959597,0.7142857142857142,0.7040816326530611,0,9,9,1,4,0,1,0,1,1,1,1,H
0.18,0.2828282828282829,0.4081632653061224,0.19387755102040813,1,3,3,1,3,0,3,1,0,1,0,0,M
0.8,0.8080808080808082,0.6326530612244897,0.1020408163265306,1,3,3,1,5,0,2,0,1,1,1,0,M
